date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2021-09-22,231785363000,2021-07-21 17:58:55,23000000,20400000000,0.0008,543.45,426.1460266113281
2021-09-23,232428952999,2021-07-21 17:58:55,23000000,20400000000,0.0008,539.98,431.3236999511719
2021-09-24,232049950000,2021-07-21 17:58:55,23000000,20400000000,0.0008,538.74,432.0341796875
2021-09-27,225971600000,2021-07-21 17:58:55,23000000,20400000000,0.0009,538.09,430.7981262207031
2021-09-28,217354645000,2021-07-21 17:58:55,23000000,20400000000,0.0009,535.27,422.1167907714844
2021-09-29,219256811000,2021-07-21 17:58:55,23000000,20400000000,0.0009,535.8,422.8272399902344
2021-09-30,217705044000,2021-07-21 17:58:55,23000000,20400000000,0.0009,535.37,417.65936279296875
2021-10-01,216340192000,2021-07-21 17:58:55,23000000,20400000000,0.0009,536.73,422.6228332519531
2021-10-04,213656692000,2021-07-21 17:58:55,23000000,20400000000,0.0009,536.29,417.1726989746094
2021-10-05,214336512000,2021-07-21 17:58:55,23000000,20400000000,0.0009,534.72,421.51336669921875
2021-10-06,215109360000,2021-07-21 17:58:55,23000000,20400000000,0.001,534.85,423.26519775390625
2021-10-07,216547716000,2021-07-21 17:58:55,23000000,20400000000,0.001,533.02,426.9246520996094
2021-10-08,214515412000,2021-07-21 17:58:55,23000000,20400000000,0.0009,531.35,426.1460266113281
2021-10-12,212425860000,2021-07-21 17:58:55,23000000,20400000000,0.001,532.97,422.0194396972656
2021-10-13,211717416000,2021-07-21 17:58:55,23000000,20400000000,0.0011,534.38,423.5377502441406
2021-10-14,214987708000,2021-07-21 17:58:55,23000000,20400000000,0.001,535.62,430.66192626953125
2021-10-15,215667528000,2021-07-21 17:58:55,23000000,20400000000,0.0012,534.44,433.9417419433594
2021-10-18,217671208000,2021-07-21 17:58:55,23000000,20400000000,0.0011,534.79,435.2264404296875
2021-10-19,220748288000,2021-07-21 17:58:55,23000000,20400000000,0.0011,532.84,438.58416748046875
2021-10-20,225285192000,2021-07-21 17:58:55,23000000,20400000000,0.001,531.86,440.3067321777344
2021-10-21,222365544000,2021-10-20 17:49:33,7000000,23591000000,0.0012,530.94,441.4551696777344
2021-10-22,224254728000,2021-10-20 17:49:33,7000000,23591000000,0.0013,532.48,440.9977722167969
2021-10-25,219045160000,2021-10-20 17:49:33,7000000,23591000000,0.0014000000000000002,532.71,443.36273193359375
2021-10-26,219639108000,2021-10-20 17:49:33,7000000,23591000000,0.0014000000000000002,534.13,443.7617492675781
2021-10-27,218429744000,2021-10-20 17:49:33,7000000,23591000000,0.0012,537.1,441.7958679199219
2021-10-28,217950292000,2021-10-20 17:49:33,7000000,23591000000,0.0015,535.95,446.0586853027344
2021-10-29,223102612000,2021-10-20 17:49:33,7000000,23591000000,0.0015,536.21,446.9637756347656
2021-11-01,221607008000,2021-10-20 17:49:33,7000000,23591000000,0.0015,535.23,447.732666015625
2021-11-02,224161700000,2021-10-20 17:49:33,7000000,23591000000,0.0015,536.35,449.5428771972656
2021-11-03,222444260000,2021-10-20 17:49:33,7000000,23591000000,0.0017000000000000001,535.02,452.28741455078125
2021-11-04,218966444000,2021-10-20 17:49:33,7000000,23591000000,0.0014000000000000002,537.55,454.41888427734375
2021-11-05,209012448000,2021-10-20 17:49:33,7000000,23591000000,0.0014000000000000002,540.64,455.99554443359375
2021-11-08,215646060000,2021-10-20 17:49:33,7000000,23591000000,0.0016,539.99,456.3847961425781
2021-11-09,214100364000,2021-10-20 17:49:33,7000000,23591000000,0.0014000000000000002,542.13,454.87628173828125
2021-11-10,216132667999,2021-10-20 17:49:33,7000000,23591000000,0.0017000000000000001,537.76,451.21685791015625
2021-11-12,217814328000,2021-10-20 17:49:33,7000000,23591000000,0.0017000000000000001,536.5,454.76922607421875
2021-11-15,214451008000,2021-10-20 17:49:33,7000000,23591000000,0.0018,533.78,454.9249572753906
2021-11-16,218680203999,2021-10-20 17:49:33,7000000,23591000000,0.0017000000000000001,532.76,456.7254333496094
2021-11-17,221599852000,2021-10-20 17:49:33,7000000,23591000000,0.0018,533.88,455.6159362792969
2021-11-18,223732339999,2021-10-20 17:49:33,7000000,23591000000,0.0018,534.52,457.1634216308594
2021-11-19,224791428000,2021-10-20 17:49:33,7000000,23591000000,0.0018,535.97,456.3459167480469
2021-11-22,224505188000,2021-10-20 17:49:33,7000000,23591000000,0.002,533.08,455.0611877441406
2021-11-23,224354912000,2021-10-20 17:49:33,7000000,23591000000,0.0021,529.77,455.6646423339844
2021-11-24,225757488000,2021-10-20 17:49:33,7000000,23591000000,0.0024,531.25,456.8811340332031
