date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2013-08-16,48872548800,2013-06-11 17:22:05,0,4887000000,0.0013,356.89,138.0309600830078
2013-08-19,48951164160,2013-06-11 17:22:05,0,4887000000,0.0013,355.82,137.1486358642578
2013-08-20,49283095680,2013-06-11 17:22:05,0,4887000000,0.0013,356.83,137.8228759765625
2013-08-21,48898753920,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,355.98,136.973876953125
2013-08-22,49021044480,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,355.45,138.22244262695312
2013-08-23,49383548640,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,357.1,138.6884765625
2013-08-26,48859446240,2013-06-11 17:22:05,0,4887000000,0.0013,357.69,138.17247009277344
2013-08-27,48772095840,2013-06-11 17:22:05,0,4887000000,0.0012,359.29,135.9500274658203
2013-08-28,48243625920,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,358.2,136.43275451660156
2013-08-29,48649805280,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,359.08,136.6492156982422
2013-08-30,48859446240,2013-06-11 17:22:05,0,4887000000,0.0013,359.5,136.2163848876953
2013-09-03,49043880600,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,357.83,136.83233642578125
2013-09-04,48833655000,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,356.99,137.96437072753906
2013-09-05,50200121400,2013-06-11 17:22:05,0,4887000000,0.0016,355.13,138.13912963867188
2013-09-06,50081869500,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,355.48,138.2056884765625
2013-09-09,50519839500,2013-06-11 17:22:05,0,4887000000,0.0012,356.38,139.5291748046875
2013-09-10,51382640400,2013-06-11 17:22:05,0,4887000000,0.0013,355.31,140.56129455566406
2013-09-11,52227922500,2013-06-11 17:22:05,0,4887000000,0.0012,356.06,141.00245666503906
2013-09-12,51763674300,2013-06-11 17:22:05,0,4887000000,0.0013,356.25,140.6278839111328
2013-09-13,51255629100,2013-06-11 17:22:05,0,4887000000,0.0013,356.32,140.94419860839844
2013-09-16,51395779500,2013-06-11 17:22:05,0,4887000000,0.0013,356.72,141.75994873046875
2013-09-17,51641042700,2013-06-11 17:22:05,0,4887000000,0.0012,357.3,142.39251708984375
2013-09-18,51961636740,2013-06-11 17:22:05,0,4887000000,0.0011,359.82,144.04054260253906
2013-09-19,52206024000,2013-06-11 17:22:05,0,4887000000,0.001,359.47,143.7991943359375
2013-09-20,51654181800,2013-06-11 17:22:05,0,4887000000,0.0011,360.08,142.7938690185547
2013-09-23,51492132900,2013-06-11 17:22:05,0,4887000000,0.001,360.45,142.13307189941406
2013-09-24,50953429800,2013-06-11 17:22:05,0,4887000000,0.001,361.78,141.79849243164062
2013-09-25,50546117700,2013-06-11 17:22:05,0,4887000000,0.001,362.43,141.38865661621094
2013-09-26,50979708000,2013-06-11 17:22:05,0,4887000000,0.0009,361.73,141.93235778808594
2013-09-27,50681888400,2013-06-11 17:22:05,0,4887000000,0.001,361.91,141.27993774414062
2013-09-30,50441004900,2013-06-11 17:22:05,0,4887000000,0.001,361.68,140.52713012695312
2013-10-01,50366550000,2013-06-11 17:22:05,0,4887000000,0.001,361.24,141.63955688476562
2013-10-02,50287715400,2013-06-11 17:22:05,0,4887000000,0.0011,361.83,141.50576782226562
2013-10-03,50112527400,2013-06-11 17:22:05,0,4887000000,0.0011,362.25,140.20091247558594
2013-10-04,50121286800,2013-06-11 17:22:05,0,4887000000,0.0011,361.78,141.26319885253906
2013-10-07,49670177700,2013-06-11 17:22:05,0,4887000000,0.0012,362.24,140.04200744628906
2013-10-08,49144613700,2013-06-11 17:22:05,0,4887000000,0.0015,362.25,138.4110107421875
2013-10-09,50186982300,2013-06-11 17:22:05,0,4887000000,0.0015,361.93,138.51141357421875
2013-10-10,50673129000,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,361.83,141.4973907470703
2013-10-11,50760723000,2013-06-11 17:22:05,0,4887000000,0.0014000000000000002,362.22,142.4091033935547
2013-10-15,50524219200,2013-06-11 17:22:05,0,4887000000,0.0016,361.93,141.94070434570312
2013-10-16,51400159200,2013-06-11 17:22:05,0,4887000000,0.0015,363.23,143.92303466796875
2013-10-17,51793456260,2013-10-16 15:39:54,0,4998000000,0.0013,365.0,144.88491821289062
2013-10-18,51522790800,2013-10-16 15:39:54,0,4998000000,0.0012,365.28,145.86351013183594
2013-10-21,51408918600,2013-10-16 15:39:54,0,4998000000,0.0011,365.08,145.87185668945312
2013-10-22,51597245700,2013-10-16 15:39:54,0,4998000000,0.001,366.86,146.7166748046875
2013-10-23,51312565200,2013-10-16 15:39:54,0,4998000000,0.0011,367.29,146.01406860351562
2013-10-24,50909632800,2013-10-16 15:39:54,0,4998000000,0.0012,366.59,146.49917602539062
2013-10-25,50997226800,2013-10-16 15:39:54,0,4998000000,0.0011,367.01,147.16831970214844
2013-10-28,51395779500,2013-10-16 15:39:54,0,4998000000,0.0011,366.97,147.40252685546875
2013-10-29,52008937500,2013-10-16 15:39:54,0,4998000000,0.0011,367.1,148.18873596191406
2013-10-30,51575347200,2013-10-16 15:39:54,0,4998000000,0.0011,366.94,147.4526824951172
2013-10-31,51680460000,2013-10-16 15:39:54,0,4998000000,0.001,366.86,147.03453063964844
2013-11-01,52389095460,2013-10-16 15:39:54,0,4998000000,0.001,365.57,147.38580322265625
2013-11-04,52705309800,2013-10-16 15:39:54,0,4998000000,0.0009,365.92,147.9043426513672
2013-11-05,52613336100,2013-10-16 15:39:54,0,4998000000,0.001,364.73,147.43597412109375
2013-11-06,54338937900,2013-10-16 15:39:54,0,4998000000,0.0011,364.9,148.18873596191406
2013-11-07,53773956600,2013-10-16 15:39:54,0,4998000000,0.0011,365.63,146.31517028808594
2013-11-08,53773956600,2013-10-16 15:39:54,0,4998000000,0.0012,363.14,148.28909301757812
2013-11-12,53629426500,2013-10-16 15:39:54,0,4998000000,0.0013,362.82,148.01304626464844
2013-11-13,53944764900,2013-10-16 15:39:54,0,4998000000,0.0013,363.49,149.20083618164062
